Ensouled dragon head,1lb
Ensouled dragon head,1lb
Soul bearer,450g
Damaged soul bearer,420g
Book of arcane knowledge,200g
Dark manuscript,6g
Dark manuscript,6g
Dark manuscript,6g
Dark manuscript,6g
Dark manuscript,6g
Dark manuscript,6g
Dark manuscript,6g
Dark manuscript,6g
Dark manuscript,6g
Dark manuscript,6g
Rada's Census,18oz
Ricktor's Diary (7),18oz
Eathram & Rada extract,18oz
Killing of a King,1oz
Hosidius letter,1oz
Wintertodt Parable,18oz
Twill Accord,5g
Byrne's Coronation Speech,1oz
Ideology of Darkness,18oz
Rada's Journey,1oz
Transvergence theory,18oz
Tristessa's Tragedy,1oz
Treachery of Royalty,18oz
Transportation Incantations,18oz
Soul journey,18oz
Lumbridge graveyard teleport,1g
Draynor Manor teleport,1g
Mind altar teleport,1g
Salve graveyard teleport,1g
Fenkenstrain's Castle teleport,1g
West Ardougne teleport,1g
Harmony island teleport,1g
Cemetery teleport,1g
Barrows teleport,1g
Ape Atoll teleport,1g
Battlefront teleport,1g
Arclight,4lb
Ancient shard,0g
Dark Totem Base,3g
Dark Totem Middle,3g
Dark Totem Top,3g
Dark Totem,9g
Jar of Darkness,40g
Dark claw,20g
Servery flour,6oz
Servery pastry dough,6oz
Servery raw meat,12oz
Servery dish,100g
Servery pie shell,250g
Servery uncooked pie,500g
Servery meat pie,450g
Servery pizza base,100g
Servery tomato,80g
Servery incomplete pizza,600g
Servery cheese,200g
Servery uncooked pizza,800g
Servery plain pizza,800g
Servery pineapple,150g
Servery pineapple chunks,120g
Servery pineapple pizza,900g
Servery cooked meat,10oz
Servery potato,600g
Servery incomplete stew,1000g
Servery incomplete stew,1200g
Servery uncooked stew,1500g
Servery stew,1500g
Temple coin,5g
Grubby Key,1g
Temple key,1g
Tome of the moon,1000g
Tome of the Sun,1kg
Tome of the Temple,1kg
Tattered Moon Page,5g
Tattered Sun Page,5g
Tattered temple page,0 (none defined)
Lamp of Knowledge,100g
Giant egg sac(full),5000g
Giant egg sac,3000g
Mask of ranul,350g
Jar of Eyes,20g
Sarachnis cudgel,453g
Juniper charcoal,0g
Volcanic sulphur,2oz
Dynamite pot,3lb
Dynamite,3lb
Blasted ore,5lb
Minecart control scroll,0 (none defined)
Shayzien supply gloves (1),8oz
Shayzien supply boots (1),3lb
Shayzien supply helm (1),6lb
Shayzien supply greaves (1),20lb
Shayzien supply platebody (1),22lb
Shayzien supply gloves (2),8oz
Shayzien supply boots (2),3lb
Shayzien supply helm (2),6lb
Shayzien supply greaves (2),20lb
Shayzien supply platebody (2),22lb
Shayzien supply gloves (3),8oz
Shayzien supply boots (3),3lb
Shayzien supply helm (3),6lb
Shayzien supply greaves (3),20lb
Shayzien supply platebody (3),22lb
Shayzien supply gloves (4),8oz
Shayzien supply boots (4),3lb
Shayzien supply helm (4),6lb
Shayzien supply greaves (4),20lb
Shayzien supply platebody (4),22lb
Shayzien supply gloves (5),8oz
Shayzien supply boots (5),3lb
Shayzien supply helm (5),6lb
Shayzien supply greaves (5),20lb
Shayzien supply platebody (5),22lb
Shayzien supply crate,400g
Shayzien supply set (1),6kg
Shayzien supply set (2),6kg
Shayzien supply set (3),6kg
Shayzien supply set (4),6kg
Shayzien supply set (5),6kg
Fresh fish,700g
Bucket of Sandworms,2500g
Sandworms,0g
Sandworms pack,300g
Stolen pendant,50g
Stolen garnet ring,50g
Stolen circlet,50g
Stolen family heirloom,50g
Stolen jewelry box,50g
Raw anglerfish,400g
Anglerfish,400g
Burnt anglerfish,400g
Shayzien gloves (1),8oz
Shayzien boots (1),3lb
Shayzien helm (1),6lb
Shayzien greaves (1),20lb
Shayzien platebody (1),22lb
Shayzien gloves (2),8oz
Shayzien boots (2),3lb
Shayzien helm (2),6lb
Shayzien greaves (2),20lb
Shayzien platebody (2),22lb
Shayzien gloves (3),8oz
Shayzien boots (3),3lb
Shayzien helm (3),6lb
Shayzien greaves (3),20lb
Shayzien platebody (3),22lb
Shayzien gloves (4),8oz
Shayzien boots (4),3lb
Shayzien helm (4),6lb
Shayzien greaves (4),20lb
Shayzien platebody (4),22lb
Shayzien gloves (5),8oz
Shayzien boots (5),3lb
Shayzien helm (5),6lb
Shayzien greaves (5),20lb
Shayzien platebody (5),22lb
Shayzien medpack,200g
Xerician fabric,60g
Xerician hat,200g
Xerician top,200g
Xerician robe,180g
Lizardman fang,10g
Xeric's talisman (inert),60g
Xeric's talisman,60g
Gang meeting info,5g
Intelligence,5g
Training manual,200g
Bruma root,2kg
Bruma kindling,2kg
Rejuvenation potion (unf),35g
Bruma herb,7g
Rejuvenation potion (4),35g
Rejuvenation potion (3),35g
Rejuvenation potion (2),35g
Rejuvenation potion (1),35g
Supply Crate,4kg
Extra Supply Crate,4kg
Pyromancer Garb,200g
Pyromancer Robe,180g
Pyromancer Hood,180g
Pyromancer Boots,3lb
Warm gloves,1lb
Tome of Fire,1kg
Tome of Fire (empty),1kg
Burnt page,5g
Bruma Torch,3g
Smelly journal,10g
Graceful hood,600g
Graceful hood,-3kg
Graceful cape,800g
Graceful cape,-4kg
Graceful top,900g
Graceful top,-5kg
Graceful legs,900g
Graceful legs,-6kg
Graceful gloves,100g
Graceful gloves,-3kg
Graceful boots,400g
Graceful boots,-4kg
Graceful hood,600g
Graceful hood,-3kg
Graceful cape,800g
Graceful cape,-4kg
Graceful top,900g
Graceful top,-5kg
Graceful legs,900g
Graceful legs,-6kg
Graceful gloves,100g
Graceful gloves,-3kg
Graceful boots,400g
Graceful boots,-4kg
Graceful hood,600g
Graceful hood,-3kg
Graceful cape,800g
Graceful cape,-4kg
Graceful top,900g
Graceful top,-5kg
Graceful legs,900g
Graceful legs,-6kg
Graceful gloves,100g
Graceful gloves,-3kg
Graceful boots,400g
Graceful boots,-4kg
Graceful hood,600g
Graceful hood,-3kg
Graceful cape,800g
Graceful cape,-4kg
Graceful top,900g
Graceful top,-5kg
Graceful legs,900g
Graceful legs,-6kg
Graceful gloves,100g
Graceful gloves,-3kg
Graceful boots,400g
Graceful boots,-4kg
Graceful hood,600g
Graceful hood,-3kg
Graceful cape,800g
Graceful cape,-4kg
Graceful top,900g
Graceful top,-5kg
Graceful legs,900g
Graceful legs,-6kg
Graceful gloves,100g
Graceful gloves,-3kg
Graceful boots,400g
Graceful boots,-4kg
Graceful hood,600g
Graceful hood,-3kg
Graceful cape,800g
Graceful cape,-4kg
Graceful top,900g
Graceful top,-5kg
Graceful legs,900g
Graceful legs,-6kg
Graceful gloves,100g
Graceful gloves,-3kg
Graceful boots,400g
Graceful boots,-4kg
Antique lamp,100g
Grey boots,12oz
Grey robe top,2lb
Grey robe bottoms,2lb
Grey hat,1lb
Grey gloves,1lb
Red boots,12oz
Red robe top,2lb
Red robe bottoms,2lb
Red hat,1lb
Red gloves,1lb
Yellow boots,12oz
Yellow robe top,2lb
Yellow robe bottoms,2lb
Yellow hat,1lb
Yellow gloves,1lb
Teal boots,12oz
Teal robe top,2lb
Teal robe bottoms,2lb
Teal hat,1lb
Teal gloves,1lb
Purple boots,12oz
Purple robe top,2lb
Purple robe bottoms,2lb
Purple hat,1lb
Purple gloves,1lb
Blood Pint,550g
Blood shard,10g
Amulet of blood fury,20g
Raw mystery meat,12oz
Cooked mystery meat,12oz
Pat of not garlic butter,200g
Long rope,3lb
Severed leg,1800g
Vyre noble blazer,2lb
Vyre noble coat tails,2lb
Vyre noble vest,2lb
Vyre noble pants,2lb
Vyre noble corset,2lb
Vyre noble skirt,2lb
Vyre noble dress top,2lb
Vyre noble dress bottom,2lb
Vyre noble blazer,2lb
Vyre noble coat tails,2lb
Vyre noble vest,2lb
Vyre noble pants,2lb
Vyre noble corset,2lb
Vyre noble skirt,2lb
Vyre noble dress top,2lb
Vyre noble dress bottom,2lb
Vyre noble blazer,2lb
Vyre noble coat tails,2lb
Vyre noble vest,2lb
Vyre noble pants,2lb
Vyre noble corset,2lb
Vyre noble skirt,2lb
Vyre noble dress top,2lb
Vyre noble dress bottom,2lb
A taste of hope,18oz
Raw slimy eel,2kg
Cooked Slimy Eel,2kg
Burnt Eel,2kg
The Turncloak,18oz
Explosive Discovery,18oz
Bloody Grimoire,18oz
Elixir of Everlasting,1oz
Buried Alive,1oz
Deed,1oz
Old key,10g
Bloody Bracer,550g
Jar of Dreams,40g
Inquisitor's mace,4lb
Inquisitor's great helm,2721g
Inquisitor's hauberk,9979g
Inquisitor's plateskirt,9071g
Nightmare Staff,1500g
Harmonised Nightmare Staff,1600g
Volatile Nightmare Staff,1600g
Eldritch Nightmare Staff,1600g
Harmonised Orb,100g
Volatile Orb,100g
Eldritch Orb,100g
Myre Snelm,2kg
Blood'n'Tar Snelm,2kg
Ochre Snelm,2kg
Bruise Blue Snelm,2kg
Broken bark Snelm,2kg
Myre Snelm,2kg
Blood'n'Tar Snelm,2kg
Ochre Snelm,2kg
Bruise Blue Snelm,2kg
Blamish Myre Shell,10kg
Blamish Red Shell,10kg
Blamish Ochre Shell,10kg
Blamish Blue Shell,10kg
Blamish Bark Shell,10kg
Blamish Myre Shell,10kg
Blamish Red Shell,10kg
Blamish Ochre Shell,10kg
Blamish Blue Shell,10kg
Thin Snail,2kg
Lean Snail,2kg
Fat Snail,2kg
Thin snail meat,3kg
Lean snail meat,4kg
Fat snail meat,5kg
Burnt snail,1kg
Sample bottle,20g
Vampyre dust,2oz
Witchwood Icon,7g
Bandana Eyepatch,1kg
Bandana Eyepatch,1kg
Bandana Eyepatch,1kg
Bandana Eyepatch,1kg
Hat Eyepatch,1kg
Crabclaw Hook,1kg
Cavalier Mask,1kg
Beret Mask,1kg
Black Mask (10),10kg
Black Mask (9),10kg
Black Mask (8),10kg
Black Mask (7),10kg
Black Mask (6),10kg
Black Mask (5),10kg
Black Mask (4),10kg
Black Mask (3),10kg
Black Mask (2),10kg
Black Mask (1),10kg
Black Mask,10kg
Black Mask (10) (i),10kg
Black Mask (9) (i),10kg
Black Mask (8) (i),10kg
Black Mask (7) (i),10kg
Black Mask (6) (i),10kg
Black Mask (5) (i),10kg
Black Mask (4) (i),10kg
Black Mask (3) (i),10kg
Black Mask (2) (i),10kg
Black Mask (1) (i),10kg
Black Mask (i),10kg
Mangled bones,12000g
Chewed bones,12000g
My notes,10g
Barbarian skills,10g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Ancient page,3g
Crushed gem,3g
Dragon full helm,2000g
Fish vial,3g
Fish vial,3g
Barbarian rod,3lb
Roe,50g
Caviar,50g
Leaping trout,500g
Leaping salmon,500g
Leaping sturgeon,1000g
Fish offcuts,100g
Attack mix(2),75g
Attack mix(1),45g
Antipoison mix(2),75g
Antipoison mix(1),45g
Relicym's mix(2),75g
Relicym's mix(1),45g
Strength mix(2),75g
Strength mix(1),45g
Combat mix(2),75g
Combat mix(1),45g
Restore mix(2),75g
Restore mix(1),45g
Energy mix(2),75g
Energy mix(1),45g
Defence mix(2),75g
Defence mix(1),45g
Agility mix(2),75g
Agility mix(1),45g
Prayer mix(2),75g
Prayer mix(1),45g
Superattack mix(2),75g
Superattack mix(1),45g
Anti-poison supermix(2),75g
Anti-poison supermix(1),45g
Fishing mix(2),75g
Fishing mix(1),45g
Super energy mix(2),75g
Super energy mix(1),45g
Stamina mix(2),75g
Stamina mix(1),45g
Super str. mix(2),75g
Super str. mix(1),45g
Magic essence mix(2),75g
Magic essence mix(1),45g
Super restore mix(2),75g
Super restore mix(1),45g
Super def. mix(2),75g
Super def. mix(1),45g
Antidote+ mix(2),75g
Antidote+ mix(1),45g
Antifire mix(2),75g
Antifire mix(1),45g
Extended antifire mix(2),80g
Extended antifire mix(1),50g
Super antifire mix(2),75g
Super antifire mix(1),45g
Extended super antifire mix(2),80g
Extended super antifire mix(1),50g
Ranging mix(2),75g
Ranging mix(1),45g
Magic mix(2),75g
Magic mix(1),45g
Hunting mix(2),75g
Hunting mix(1),45g
Zamorak mix(2),75g
Zamorak mix(1),45g
Bronze hasta,5lb
Iron hasta,5lb
Steel hasta,5lb
Mithril hasta,4lb
Adamant hasta,6lb
Rune hasta,5lb
Bronze hasta(p),5lb
Bronze hasta(KP),5lb
Bronze hasta(p+),5lb
Bronze hasta(p++),5lb
Iron hasta(p),5lb
Iron hasta(KP),5lb
Iron hasta(p+),5lb
Iron hasta(p++),5lb
Steel hasta(p),5lb
Steel hasta(KP),5lb
Steel hasta(p+),5lb
Steel hasta(p++),5lb
Mithril hasta(p),4lb
Mithril hasta(KP),4lb
Mithril hasta(p+),4lb
Mithril hasta(p++),4lb
Adamant hasta(p),6lb
Adamant hasta(KP),6lb
Adamant hasta(p+),6lb
Adamant hasta(p++),6lb
Rune hasta(p),5lb
Rune hasta(KP),5lb
Rune hasta(p+),5lb
Rune hasta(p++),5lb
Dragon Hasta,5lb
Dragon Hasta(p),5lb
Dragon Hasta(p+),5lb
Dragon Hasta(p++),5lb
Dragon Hasta(kp),5lb
Fake Dragon Hasta(kp),5lb
Tephra,5lb
Refined tephra,5lb
Imbued tephra,5lb
Zalcano shard,500g
Crystal crown,300g
Crystal crown,300g
Crystal crown,300g
Crystal crown,300g
Crystal crown,300g
Crystal crown,300g
Crystal crown,300g
Crystal crown,300g
Crystal of Ithell,453g
Crystal of Iorwerth,1lb
Crystal of Trahaearn,1lb
Crystal of Cadarn,1lb
Crystal of Crwys,1lb
Crystal of Meilyr,1lb
Crystal of Hefin,1lb
Crystal of Amlodd,1lb
Elven signet,6g
Eternal teleport crystal,1g
Elven dawn,550g
Enhanced crystal key,10g
Crystal tool seed,0lb
Crystal armour seed,0lb
Enhanced crystal teleport seed,0lb
Crystal shard,2g
Crystal dust,2g
Crystal helm,6lb
Crystal helm (inactive),6lb
Crystal body,22lb
Crystal body (inactive),22lb
Crystal legs,20lb
Crystal legs (inactive),20lb
Crystal bow,4lb
Crystal bow (inactive),4lb
Crystal bow,4lb
Crystal halberd,4lb
Crystal halberd (inactive),4lb
Crystal halberd,4lb
Crystal Shield,6lb
Crystal Shield (inactive),6lb
Crystal Shield,6lb
Blade of Saeldor,1814g
Blade of Saeldor (inactive),4lb
Blade of Saeldor (c),1814g
Crystal grail,1g
Elven boots,10lb
Elven gloves,10lb
Elven top,2lb
Elven skirt,2lb
Elven top,2lb
Elven skirt,2lb
Elven top,2lb
Elven legwear,907g
Elven top,2lb
Memoriam crystal (1),0g
Memoriam crystal (2),0g
Memoriam crystal (3),0g
Memoriam crystal (4),0g
Dragonstone full helm,2721g
Dragonstone platebody,9979g
Dragonstone platelegs,9071g
Dragonstone boots,3lb
Dragonstone gauntlets,8oz
Crazed Scribbles,8oz
A Dear Friend,8oz
On Leprechauns,8oz
Bloody Diary,8oz
The Eight Clans,8oz
Gollwyn's Final Statement,8oz
Niff & Harry,8oz
Soggy Journal,8oz
Ebrill's Journal,8oz
Stained Journal,8oz
The Truth Behind the Myth (Excerpt),8oz
The Living Statues,8oz
The Spurned Demon,8oz
Legends of the Mountain,8oz
Harmony,8oz
Broken Fishing Rod,2lb
Forlorn Boot,2oz
Fishing Explosive,25g
Mudskipper Hat,1lb
Flippers,12oz
Empty fishbowl,3lb
Fishbowl,5lb
Fishbowl,5lb
Fishbowl,5lb
Fishbowl,5lb
Fishbowl,5lb
Fishbowl and Net,5lb
Tiny Net,20g
An Empty Box,1oz
Guam In A Box,1oz
Seaweed In A Box,1oz
Ground Guam,2oz
Ground Seaweed,2oz
Security book,10g
Stronghold Notes,10g
Fancy boots,10g
Fighting boots,10g
Right Skull Half,80g
Left Skull Half,80g
Strange Skull,80g
Top of Sceptre,4lb
Bottom of Sceptre,4lb
Runed Sceptre,8lb
Skull Sceptre,4lb
Skull Sceptre (i),4lb
Tarn's diary,1lb
Salve amulet (e),7g
Salve amulet(ei),7g
TokTz-Xil-Ul,12oz
TokTz-Xil-Ak,4lb
TokTz-Ket-Xil,8lb
TokTz-Xil-Ek,1lb
TokTz-Mej-Tal,4lb
TzHaar-Ket-Em,4lb
TzHaar-Ket-Om,8lb
TokKul,2g
Obsidian helmet,8lb
Obsidian platebody,22lb
Obsidian platelegs,20lb
Uncut Onyx,3g
Onyx,2g
Onyx ring,6g
Onyx necklace,10g
Onyx amulet (u),4g
Onyx amulet,7g
Ring of stone,6g
Amulet of fury,10g
Museum map,1g
Uncleaned find,3oz
Arrowheads,1g
Jewellery,1g
Pottery,1g
Old coin,1g
Ancient coin,1g
Ancient symbol,1g
Old symbol,1g
Old chipped vase,1g
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Digsite pendant (1),10g
Digsite pendant (2),10g
Digsite pendant (3),10g
Digsite pendant (4),10g
Digsite pendant (5),10g
Clean necklace,10g
Rock-shell helm,6lb
Rock-shell plate,22lb
Rock-shell legs,20lb
Spined helm,6lb
Spined body,15lb
Spined chaps,12lb
Skeletal helm,3lb
Skeletal top,11lb
Skeletal bottoms,9lb
Spined boots,7lb
Rock-shell boots,7lb
Skeletal boots,7lb
Spined gloves,7lb
Rock-shell gloves,7lb
Skeletal gloves,7lb
Dagannoth hide,7lb
Rock-shell chunk,7lb
Rock-shell shard,7lb
Rock-shell splinter,7lb
Skull piece,7lb
Ribcage piece,7lb
Fibula piece,7lb
Circular hide,7lb
Flattened hide,7lb
Stretched hide,7lb
Dagannoth bones,1500g
Seers ring,4g
Seers ring (i),4g
Archers ring,4g
Archers ring (i),4g
Warrior ring,4g
Warrior ring (i),4g
Berserker ring,4g
Berserker ring (i),4g
Ecumenical key,15g
Team-1 cape,1lb
Team-2 cape,1lb
Team-3 cape,1lb
Team-4 cape,1lb
Team-5 cape,1lb
Team-6 cape,1lb
Team-7 cape,1lb
Team-8 cape,1lb
Team-9 cape,1lb
Team-10 cape,1lb
Team-11 cape,1lb
Team-12 cape,1lb
Team-13 cape,1lb
Team-14 cape,1lb
Team-15 cape,1lb
Team-16 cape,1lb
Team-17 cape,1lb
Team-18 cape,1lb
Team-19 cape,1lb
Team-20 cape,1lb
Team-21 cape,1lb
Team-22 cape,1lb
Team-23 cape,1lb
Team-24 cape,1lb
Team-25 cape,1lb
Team-26 cape,1lb
Team-27 cape,1lb
Team-28 cape,1lb
Team-29 cape,1lb
Team-30 cape,1lb
Team-31 cape,1lb
Team-32 cape,1lb
Team-33 cape,1lb
Team-34 cape,1lb
Team-35 cape,1lb
Team-36 cape,1lb
Team-37 cape,1lb
Team-38 cape,1lb
Team-39 cape,1lb
Team-40 cape,1lb
Team-41 cape,1lb
Team-42 cape,1lb
Team-43 cape,1lb
Team-44 cape,1lb
Team-45 cape,1lb
Team-46 cape,1lb
Team-47 cape,1lb
Team-48 cape,1lb
Team-49 cape,1lb
Team-50 cape,1lb
Saradomin Cape,1lb
Guthix Cape,1lb
